participante,ImageName,score,saliency_coverage,stationary_entropy,gaze_points_count
8,140,6.0,6.581041666666667,16.4949509905032,451
8,147,5.0,9.960833333333333,16.698995509924362,451
8,148,8.0,6.925625,16.26770771940954,450
8,149,5.0,7.936458333333333,16.360891371484726,440
9,0,4.0,3.61875,16.10970261523936,443
9,1,4.0,3.0258333333333334,15.315213121657202,427
9,5,4.0,11.525625,16.934070946938935,450
9,8,5.0,13.530000000000001,16.711597048645714,451
9,13,5.0,2.180625,16.04224204951283,450
9,17,4.0,5.685208333333333,16.810172419780923,387
9,18,4.0,2.6302083333333335,16.107944849584047,450
9,20,5.0,4.16,15.711772480759764,451
9,21,5.0,9.223541666666666,16.31547909151641,450
9,22,4.0,10.096458333333333,16.313337767386884,451
9,30,4.0,9.186666666666667,16.46467274365327,451
9,45,6.0,8.195,16.63731057313116,451
9,47,5.0,6.598333333333334,16.547114722583288,451
9,51,4.0,7.300416666666666,16.087301185981136,451
9,55,5.0,3.978541666666666,15.72128387549452,450
9,58,4.0,14.995416666666667,17.34290734476932,451
9,62,5.0,9.66625,16.599127094364633,451
9,63,6.0,8.312708333333333,16.75769310206575,445
9,64,4.0,6.295416666666667,16.503866086989092,451
9,65,4.0,4.092083333333333,16.014055402767056,451
9,69,4.0,3.8,15.879331164275797,450
9,71,4.0,2.8679166666666664,16.110226699014266,451
9,73,4.0,12.31125,16.783245214219534,451
9,74,4.0,4.898750000000001,16.329076144195206,450
9,75,4.0,14.080625,16.6969610531327,450
9,78,3.0,9.3425,16.43633903445573,451
9,81,3.0,1.7624999999999997,16.267277622153156,451
9,84,6.0,6.573541666666667,16.447576119426536,438
9,87,4.0,6.43,16.378689069437044,450
9,90,5.0,11.575625,17.103405551943453,450
9,92,6.0,4.658541666666666,16.831083251585735,450
9,97,4.0,9.770624999999999,16.247526268845384,439
9,102,4.0,5.074583333333333,16.40101108599781,450
9,104,4.0,11.845208333333334,16.780705254679553,451
9,106,5.0,10.720833333333333,16.56015688501918,450
9,108,5.0,4.448958333333334,15.554299161295969,450
9,109,4.0,12.166041666666667,17.066081378475534,450
9,112,3.0,8.734166666666667,16.48590335032811,440
9,113,4.0,6.039583333333334,16.322583288613497,451
9,115,5.0,2.6914583333333333,15.99765906492285,450
9,116,5.0,8.400833333333333,16.27686017447461,451
9,125,3.0,3.7331250000000002,16.529011740956797,450
9,126,4.0,6.632499999999999,16.119748317775493,451
9,134,3.0,5.602083333333333,16.214352302124098,451
9,135,5.0,2.1191666666666666,15.494157530535652,450
9,136,4.0,4.621041666666667,16.047913876139855,451
9,140,4.0,7.091458333333334,16.426685562768803,450
9,144,5.0,5.25875,16.26904991846664,451
9,145,4.0,13.267708333333333,16.983549693955922,450
9,149,4.0,2.6329166666666666,15.62339326676384,447
10,0,5.0,10.57375,17.178266897777746,447
10,5,3.0,6.399583333333333,16.608393799413044,451
10,10,4.0,12.088541666666666,16.70344534486973,450
10,14,9.0,9.153958333333332,16.778835135448002,442
10,15,7.0,10.434791666666667,16.912417830707238,451
10,19,5.0,9.009583333333333,16.62256499006341,450
10,24,6.0,7.828749999999999,16.98474537795747,450
10,26,7.0,7.0564583333333335,16.722694347342863,415
10,33,4.0,11.417708333333334,16.94126380930078,446
10,34,4.0,9.128124999999999,16.758308896237537,450
10,35,7.0,9.352083333333333,16.81918141582629,450
10,37,9.0,14.877916666666666,17.072451022253322,451
10,41,9.0,5.541458333333334,16.7246327995797,451
10,42,3.0,10.89125,16.776768936650228,451
10,49,5.0,4.523125,16.76393500262495,444
10,50,6.0,8.99375,16.69141744020954,451
10,55,4.0,9.604791666666666,16.322385869202396,451
10,60,2.0,8.145416666666666,16.722219429678024,451
10,61,5.0,7.501458333333333,16.62030054858816,450
10,68,2.0,7.995208333333332,16.613064366262723,438
10,70,3.0,8.1125,16.50794092325272,450
10,71,2.0,1.915625,16.75102898804604,438
10,75,1.0,6.8654166666666665,16.563499678631498,450
10,79,4.0,9.366041666666666,16.262367295249124,450
10,83,7.0,15.845,17.492807126504385,451
10,84,3.0,9.184791666666667,16.273943414498735,451
10,85,7.0,4.426875,16.9284283024381,451
10,99,5.0,9.511666666666667,17.087548869023596,451
10,100,2.0,4.730833333333333,16.49713952247413,438
10,101,2.0,8.894583333333333,16.889917805557417,431
10,102,4.0,7.395833333333333,16.760297466249035,436
10,105,6.0,9.802916666666667,16.840566458841714,451
10,107,7.0,11.270833333333332,16.64361764972634,444
10,108,4.0,10.220625,16.605555242595074,450
10,109,3.0,10.633958333333334,16.730154659388514,426
10,112,3.0,11.7075,16.88395662695342,423
10,114,3.0,11.166458333333333,16.749691132973762,450
10,115,7.0,13.412916666666666,17.018889130141023,450
10,116,8.0,7.703125,16.867950076196934,450
10,117,4.0,10.594166666666666,16.501756464888825,446
10,118,2.0,11.837708333333333,16.667146012327112,450
10,122,3.0,4.3225,16.009697007141636,439
10,124,3.0,1.6783333333333335,16.407059684533664,450
10,128,2.0,3.214583333333333,16.057851821692662,451
